control_id,control_name,in_scope,module,implementation_status,notes
3.5.1,Protect stored account data,Yes,keyrack-core,Implemented,"AES-256-GCM encryption. Key material in HSM (PKCS#11) or process memory (software provider)"
3.5.1.1,"Keyed cryptographic hash for PAN rendering",No,keyrack-core,N/A,"KeyRack is a KMS, not a PAN tokenization system. Consumers are responsible for PAN rendering"
3.5.1.2,Disk-level encryption not sole protection,Yes,keyrack-core,Implemented,"KeyRack provides application-level encryption (AES-256-GCM) independent of disk encryption"
3.6.1,Key management procedures documented,Partial,operator,Partial,"KeyRack implements the technical controls. Documented procedures (who does what, when) are an organizational deliverable"
3.6.1.1,Cryptographic key generation with approved methods,Yes,keyrack-core,Implemented,"OsRng (CSPRNG) for software provider. HSM RNG for PKCS#11. Key sizes: AES-256, Ed25519, P-256, RSA 2048-4096"
3.6.1.2,Secure cryptographic key distribution,Yes,keyrack-service,Implemented,"Keys never leave the provider boundary. Data keys wrapped by CMK before transport. gRPC/REST over TLS"
3.6.1.3,Secure cryptographic key storage,Yes,keyrack-pkcs11,Implemented,"PKCS#11 HSM storage for production. Sensitive<T> wrapper with zeroization for software provider"
3.6.1.4,Cryptographic key changes for end of cryptoperiod,Yes,keyrack-core,Implemented,"Versioned key rotation with configurable cryptoperiods (90-2560 days). Policy-driven auto-rotation"
3.7.1,Strong cryptographic key generation,Yes,keyrack-core,Implemented,"CSPRNG-based generation. AES-256 (256-bit), Ed25519 (128-bit), P-256 (128-bit), RSA-3072 (128-bit)"
3.7.2,Secure key distribution,Yes,keyrack-service,Implemented,"Keys bound to provider; data keys encrypted under CMK. No plaintext key transport"
3.7.3,Secure key storage,Yes,keyrack-pkcs11,Implemented,"HSM-backed storage. Software provider stores in memory only (not PCI-compliant)"
3.7.4,Key rotation at end of cryptoperiod,Yes,keyrack-core,Implemented,"Cooperative rotation protocol. New version generated; old version transitions to decrypt-only. Configurable intervals"
3.7.5,"Retirement or replacement of keys known/suspected compromised",Partial,keyrack-core,Partial,"Disable and schedule-deletion APIs available. No distinct 'Compromised' key state (gap vs NIST SP 800-57)"
3.7.6,Split knowledge and dual control,Partial,keyrack-pkcs11,Partial,"PKCS#11 HSMs support M-of-N authentication. KeyRack does not surface M-of-N configuration in its API. Operational procedure required"
3.7.7,Prevention of unauthorized key substitution,Yes,keyrack-core,Implemented,"LID-based key addressing is deterministic (BLAKE3 of attributes). PDP authorization prevents unauthorized key operations"
3.7.8,Key custodian acknowledgment,No,operator,N/A,"Organizational control. Not a software feature"
3.7.9,Key custodian responsibilities documented,No,operator,N/A,"Organizational control"
4.2.1,"Certificate and key inventory maintained",Partial,keyrack-service,Implemented,"ListKeys, DescribeKey, ListKeyVersions APIs provide a real-time key inventory. TLS certificate management is out of scope"
4.2.1.1,Certificate and key inventory accurate,Yes,keyrack-service,Implemented,"Key metadata stored in postgres/sqlite with state tracking. ListKeys provides filtered inventory"
12.3.3,Cryptographic cipher suite inventory,Yes,keyrack-core,Implemented,"KeySpec enum and ProviderCapabilities enumerate all supported algorithms. capabilities() method returns runtime inventory"
12.3.3.1,Cipher suite migration plan,Partial,keyrack-core,Partial,"CryptoProvider trait enables algorithm addition. No automated algorithm deprecation enforcement. Ciphertext header versioning supports algorithm migration"
