control_id,control_name,in_scope,module,implementation_status,notes
CC1.1,COSO principle: integrity and ethical values,No,operator,N/A,Organizational control; not a software concern
CC1.2,Board oversight of internal control,No,operator,N/A,Organizational control
CC2.1,Internal and external communication,Partial,keyrack-service,Implemented,"Audit events emitted for all operations via NATS; metrics endpoint for monitoring"
CC3.1,Risk assessment process,No,operator,N/A,Organizational control; KeyRack provides the technical controls to implement risk mitigations
CC5.1,Control activities over technology,Yes,keyrack-service,Implemented,"PDP authorization on every operation; fail-closed design"
CC5.2,Logical access security,Yes,keyrack-cedar-pdp,Implemented,"Cedar policy engine enforces per-operation authorization. No implicit admin role. Every request evaluated."
CC5.3,Authentication mechanisms,Yes,keyrack-service,Implemented,"Bearer token and mTLS authentication. Bootstrap token uses constant-time comparison (subtle crate)"
CC6.1,Logical and physical access controls,Yes,keyrack-cedar-pdp,Implemented,"PDP-based per-operation authorization. Key state machine prevents operations on disabled/destroyed keys"
CC6.2,Access provisioning and deprovisioning,Partial,keyrack-cli,Partial,"CLI tools for provisioning. Cedar policies manage access grants. No built-in user lifecycle management"
CC6.3,Access removal on termination,Partial,keyrack-cedar-pdp,Partial,"Policy updates remove access. No automated integration with HR/IdP systems"
CC6.6,Encryption key management,Yes,keyrack-core,Implemented,"Full key lifecycle: generate, enable, disable, rotate, schedule deletion, destroy. Versioned rotation. Configurable cryptoperiods."
CC6.7,Encryption of data in transit,Yes,keyrack-service,Implemented,"gRPC/REST over TLS. PKCS#11 communication via local socket or TLS"
CC6.8,Encryption of data at rest,Yes,keyrack-core,Implemented,"AES-256-GCM for symmetric encryption. HSM-backed key storage for production"
CC7.1,Monitoring and detection,Partial,keyrack-nats,Implemented,"Every operation emits audit events. Denied requests logged as AuthorizationDenied. Metrics endpoint available."
CC7.2,Anomaly detection,Partial,keyrack-service,Partial,"Metrics and audit events provide data for anomaly detection. No built-in anomaly detection rules"
CC7.3,Security incident evaluation,No,operator,N/A,"Incident response is an organizational process. KeyRack provides audit trail and key state for investigation"
CC7.4,Incident response,Partial,keyrack-core,Partial,"Key disable/destroy APIs enable rapid response. Cascade-disable for hierarchy-wide revocation. No automated incident playbooks"
CC8.1,Change management,No,operator,N/A,Organizational control; KeyRack has versioned releases and migration tooling
CC9.1,Risk mitigation activities,Partial,keyrack-core,Implemented,"Crypto-agility via CryptoProvider trait and KeySpec enum. Rotation policies with configurable intervals"
A1.1,System availability commitments,Partial,commercial:keyrack-ha,Partial,"HA clustering available in commercial edition. FOSS is single-node"
A1.2,Backup and recovery,Partial,keyrack-sqlite,Partial,"Metadata can be backed up. HSM key material backup depends on HSM vendor procedures"
PI1.1,Processing integrity monitoring,Yes,keyrack-core,Implemented,"AES-GCM authentication tag ensures ciphertext integrity. Self-describing header prevents key/version confusion"
C1.1,Confidential information identification,Yes,keyrack-core,Implemented,"Sensitive<T> wrapper for key material. Identity tags excluded from API responses. Encryption context hashed before storage"
C1.2,Confidential information disposal,Yes,keyrack-core,Implemented,"Key destruction with zeroization. Cascade-disable for hierarchy. Crypto-shredding capability"
P1.1,Privacy notice and consent,No,operator,N/A,"Organizational concern. KeyRack does not collect PII directly"
P6.1,PII encryption,Yes,keyrack-core,Implemented,"AES-256-GCM encryption. Identity tag tokenization via BLAKE3 with per-tenant salt"
P8.1,Disposal of PII,Yes,keyrack-core,Implemented,"Crypto-shredding via key destruction. Identity tags can be purged independently"
AUDIT-01,Audit log completeness,Yes,keyrack-service,Implemented,"Every operation (including denied requests) emits an audit event. Events include principal, action, resource, result, timestamp"
AUDIT-02,Audit log tamper-evidence,Partial,keyrack-nats,Partial,"NATS provides durable delivery. Signed audit receipts available in commercial edition (a partner). FOSS lacks cryptographic audit chain"
AUDIT-03,Audit log retention,No,operator,N/A,"Retention is a deployment/operational concern. NATS JetStream supports configurable retention"
