control_id,control_name,in_scope,module,implementation_status,notes
164.312(a)(1),Access control,Yes,keyrack-cedar-pdp,Implemented,"PDP authorization on every operation. Fail-closed if PDP unreachable. Per-operation granularity"
164.312(a)(2)(i),Unique user identification,Partial,keyrack-service,Partial,"Principal identity passed in authorization requests. KeyRack relies on external IdP for user identity management"
164.312(a)(2)(ii),Emergency access procedure,Partial,keyrack-cli,Partial,"Admin CLI can enable/disable keys. No built-in break-glass procedure; operational responsibility"
164.312(a)(2)(iii),Automatic logoff,No,operator,N/A,"Session management is a client/application concern, not KMS"
164.312(a)(2)(iv),Encryption and decryption,Yes,keyrack-core,Implemented,"AES-256-GCM for symmetric encryption. HSM-backed key storage. Encrypt/Decrypt APIs"
164.312(b),Audit controls,Yes,keyrack-service,Implemented,"Every operation emits audit events via NATS. Denied requests logged. Principal, action, resource, timestamp recorded"
164.312(c)(1),Integrity controls,Yes,keyrack-core,Implemented,"AES-GCM authentication tag provides ciphertext integrity. Self-describing header prevents key confusion"
164.312(c)(2),Mechanism to authenticate ePHI,Yes,keyrack-core,Implemented,"AES-GCM authenticated encryption. Encryption context binds ciphertext to its intended use via AAD"
164.312(d),Person or entity authentication,Yes,keyrack-service,Implemented,"Bearer token and mTLS authentication. Constant-time token comparison (subtle crate)"
164.312(e)(1),Transmission security,Yes,keyrack-service,Implemented,"gRPC/REST over TLS. PKCS#11 over local socket or TLS. Key material never transmitted in plaintext"
164.312(e)(2)(i),Integrity controls for transmission,Yes,keyrack-service,Implemented,"TLS provides transmission integrity. AES-GCM authentication tag provides ciphertext integrity end-to-end"
164.312(e)(2)(ii),Encryption of ePHI in transit,Yes,keyrack-service,Implemented,"All API communication over TLS 1.2+. Plaintext ePHI encrypted by KeyRack before storage"
HIPAA-KM-01,Key management per NIST SP 800-57,Yes,keyrack-core,Implemented,"Key states aligned to SP 800-57 (see nist-sp-800-57.csv). Full lifecycle management"
HIPAA-KM-02,Tamper-evident audit logs,Partial,keyrack-nats,Partial,"NATS durable delivery for FOSS. Signed audit receipts in commercial edition. FOSS lacks cryptographic tamper-evidence"
HIPAA-KM-03,Annual security assessment support,Partial,keyrack-service,Partial,"Key inventory, audit trail, and metrics available for assessment. No built-in assessment report generation"
HIPAA-KM-04,No plaintext ePHI in logs,Yes,keyrack-core,Implemented,"Sensitive<T> wrapper prints [REDACTED] in Debug/Display. Identity tags excluded from API responses. Encryption context hashed"
