control_id,control_name,in_scope,module,implementation_status,notes
FIPS140-CM-01,Cryptographic module specification,Yes,keyrack-core,Partial,"CryptoProvider trait defines the module boundary; no formal FIPS module specification document exists"
FIPS140-CM-02,Cryptographic module ports and interfaces,Yes,keyrack-service,Implemented,"gRPC/REST API is the only interface; no direct access to crypto internals"
FIPS140-CM-03,Roles and services,Yes,keyrack-cedar-pdp,Implemented,"PDP provides role-based authorization; operator role for key management vs user role for crypto operations"
FIPS140-ALG-01,Approved symmetric algorithms,Yes,keyrack-core,Implemented,"AES-256-GCM (FIPS 197 + SP 800-38D). Algorithm is approved; RustCrypto implementation is not CMVP-validated"
FIPS140-ALG-02,Approved signing algorithms,Yes,keyrack-core,Implemented,"Ed25519 (FIPS 186-5), ECDSA P-256 (FIPS 186-4), RSA PKCS#1v1.5 (FIPS 186-4). Algorithms approved; crates not validated"
FIPS140-ALG-03,Approved hash algorithms,Partial,keyrack-core,Partial,"SHA-256 used on PDP wire boundary (FIPS-approved). BLAKE3 used internally for LID and encryption context hashing (NOT FIPS-approved)"
FIPS140-ALG-04,Non-approved algorithms prohibited,No,keyrack-core,Not Implemented,"BLAKE3 is used for LID derivation and encryption context hashing. While not a security function, FIPS auditors evaluate the entire module"
FIPS140-RNG-01,Approved random number generator,Yes,keyrack-core,Partial,"OsRng delegates to OS CSPRNG (getrandom on Linux). OS CSPRNG is typically NIST SP 800-90A compliant but KeyRack does not validate this"
FIPS140-RNG-02,RNG seeding and reseeding,Yes,keyrack-core,Partial,"Delegated to OS. No application-level entropy assessment or health testing"
FIPS140-ST-01,Power-up self-tests,Yes,keyrack-core,Not Implemented,"No Known Answer Tests (KATs) at startup. FIPS 140-3 Level 1+ requires power-up self-tests for each approved algorithm"
FIPS140-ST-02,Conditional self-tests,Yes,keyrack-core,Not Implemented,"No pair-wise consistency tests for key generation or continuous RNG tests"
FIPS140-KM-01,Key generation,Yes,keyrack-core,Implemented,"Keys generated via CryptoProvider::generate_key() using OsRng (software) or HSM RNG (PKCS#11)"
FIPS140-KM-02,Key storage,Yes,keyrack-pkcs11,Implemented,"PKCS#11 path stores keys in HSM. Software provider stores keys in process memory (not FIPS-compliant)"
FIPS140-KM-03,Key zeroization,Yes,keyrack-core,Partial,"AES-256 keys zeroized via zeroize crate. Ed25519 best-effort overwrite. P-256 and RSA NOT zeroized in software provider"
FIPS140-KM-04,Key transport,Yes,keyrack-service,Implemented,"gRPC/REST over TLS. PKCS#11 keys never leave HSM. Data keys wrapped by CMK before transport"
FIPS140-PHY-01,Physical security (Level 1),Yes,operator,N/A,"Physical security is an HSM and deployment concern, not a KeyRack software concern"
FIPS140-PHY-02,Tamper evidence (Level 2+),No,operator,N/A,"Requires HSM hardware with tamper-evident seals; out of scope for software"
FIPS140-VAL-01,CMVP validation,Yes,keyrack-core,Not Implemented,"No RustCrypto crate has undergone CMVP validation. PKCS#11 path delegates to a validated HSM module"
FIPS140-VAL-02,Algorithm validation (CAVP),Yes,keyrack-core,Not Implemented,"RustCrypto crates have not been submitted to CAVP. NCC Group audit of aes-gcm exists but is not CAVP"
FIPS140-BOUND-01,Cryptographic boundary definition,Yes,keyrack-pkcs11,Partial,"PKCS#11 path has a clear boundary at the HSM. Software provider boundary is the process — not FIPS-defensible"
