control_id,control_name,in_scope,module,implementation_status,notes
SP800-57-KS-01,"Key state: Pre-activation",Yes,keyrack-core,Implemented,"Maps to KeyRack 'Creating' state. Covers async HSM provisioning before key is usable"
SP800-57-KS-02,"Key state: Active",Yes,keyrack-core,Implemented,"Maps to KeyRack 'Enabled' state. Full encrypt + decrypt + sign + verify"
SP800-57-KS-03,"Key state: Deactivated",Yes,keyrack-core,Implemented,"Maps to KeyRack 'Disabled' state. Decrypt/verify only — no new encrypt/sign"
SP800-57-KS-04,"Key state: Compromised",Yes,keyrack-core,Not Implemented,"No distinct 'Compromised' state. Disabled blocks encrypt but still allows decrypt. A compromised key should block ALL operations"
SP800-57-KS-05,"Key state: Destroyed",Yes,keyrack-core,Implemented,"Maps to KeyRack 'Destroyed' state. Material erased via provider. Cascade-disable for hierarchy"
SP800-57-KS-06,"Key state: Destroyed-Compromised",Yes,keyrack-core,Not Implemented,"No distinct state. Would combine Compromised + Destroyed. Relevant for audit trail completeness"
SP800-57-GEN-01,Key generation using approved RNG,Yes,keyrack-core,Implemented,"OsRng (CSPRNG) for software provider. HSM RNG for PKCS#11. Per-algorithm generation via CryptoProvider"
SP800-57-GEN-02,Key generation with sufficient strength,Yes,keyrack-core,Implemented,"AES-256 (256-bit), Ed25519 (128-bit), P-256 (128-bit), RSA-3072 (128-bit). RSA-2048 is 112-bit — below 128-bit recommendation"
SP800-57-DIST-01,Secure key distribution,Yes,keyrack-service,Implemented,"Keys bound to provider; data keys encrypted under CMK. gRPC/REST over TLS. No plaintext key transport"
SP800-57-STORE-01,Key storage protection,Yes,keyrack-pkcs11,Implemented,"PKCS#11: HSM non-volatile storage. Software: in-memory with zeroization. Metadata: postgres/sqlite (no key material)"
SP800-57-USE-01,Key usage within defined cryptoperiods,Yes,keyrack-core,Implemented,"Configurable rotation policies (90-2560 days). Versioned rotation creates new key material"
SP800-57-USE-02,Key usage type enforcement,Yes,keyrack-core,Implemented,"KeyUsage enum (EncryptDecrypt, SignVerify) enforced per key. Cannot sign with an encryption key or vice versa"
SP800-57-ROT-01,Key rotation / rekeying,Yes,keyrack-core,Implemented,"Cooperative rotation protocol. New version generated; old version transitions to decrypt-only. Policy-driven auto-rotation"
SP800-57-ROT-02,Cryptoperiod enforcement,Partial,keyrack-core,Partial,"Rotation policies define intervals. No minimum cryptoperiod enforcement per algorithm type. No per-key operation counter for nonce budget"
SP800-57-ARCH-01,Key archival (verification-only),Partial,keyrack-core,Partial,"'Disabled' state partially covers this (decrypt/verify only). No distinct 'Archived' state for long-term verification-only retention"
SP800-57-DEST-01,Key destruction via approved methods,Yes,keyrack-core,Implemented,"Software: zeroize crate (write_volatile). PKCS#11: HSM destroy command. Scheduled deletion with grace period"
SP800-57-DEST-02,Verification of key destruction,Partial,keyrack-nats,Partial,"Destruction event emitted to audit trail. No signed destruction certificate. HSM destruction depends on vendor verification mechanisms"
SP800-57-ALG-01,AES-256 symmetric encryption,Yes,keyrack-core,Implemented,"AES-256-GCM. 256-bit security strength. FIPS 197 + SP 800-38D"
SP800-57-ALG-02,Ed25519 digital signatures,Yes,keyrack-core,Implemented,"FIPS 186-5 approved. 128-bit security strength. Pure mode (RFC 8032)"
SP800-57-ALG-03,ECDSA P-256 digital signatures,Yes,keyrack-core,Implemented,"FIPS 186-4 approved. 128-bit security strength"
SP800-57-ALG-04,RSA digital signatures,Yes,keyrack-core,Implemented,"PKCS#1v1.5 only — PSS not yet supported. RSA-2048 (112-bit), RSA-3072 (128-bit), RSA-4096 (152-bit)"
SP800-57-ALG-05,Algorithm strength per SP 800-131A Rev 3,Partial,keyrack-core,Partial,"RSA-2048 provides 112-bit security — below the 128-bit minimum recommendation. Should emit deprecation warning on creation. Deadline: 2030"
SP800-57-PQC-01,Post-quantum algorithm readiness,Yes,keyrack-core,Not Implemented,"No PQC algorithms (ML-KEM, ML-DSA, SLH-DSA) implemented. Architecture supports extension via CryptoProvider trait. Roadmap: V2"
SP800-57-AGILITY-01,Crypto-agility,Yes,keyrack-core,Implemented,"CryptoProvider trait + KeySpec enum allow algorithm addition without architecture changes. Ciphertext header versioning supports format migration"
